Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AET15272.1	CP003022	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAC14728.1	AF047479	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN34365.1	AY138986	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAF17880.1	AF137361	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAJ32504.1	AM087411	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAJ32491.1	AM087405	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
BAD00739.1	AB114632	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAN41439.1	AY139603	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ABG49324.1	DQ390458	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAB14620.1	AL009126	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
XP_753111.1	NC_007194.1	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penam;peptide antibiotic	antibiotic efflux
BAD89844.2	AB204810	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye;triclosan	antibiotic efflux
ACJ59254.1	CP001172.1	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic;aminocoumarin antibiotic	antibiotic efflux
CAB46491.1	AJ133121	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAF86691.1	AF180952	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAF86697.1	AF180958	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
ABP49606.1	EF504260	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CCK86740.1	HE819401	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAB51471.1	AJ007350.1	ACI beta-lactamase	N/A	antibiotic inactivation
ACJ42146.1	CP001182.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
AJF82744.1	CP010781.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
AHB92962.1	CP006768.1	Outer Membrane Porin (Opr)	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic;resistance by absence
ALJ89624.1	CP012952.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
NP_414995.1	NC_000913.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
YP_490697.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
AAC76297.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AAC76298.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AAC76296.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
AAC45086.2	U58495	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEV91214.1	JN848330	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25650.1	JX440355	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CCK86741.1	HE819402	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25647.1	JX440354	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AFU25653.1	JX440356	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAM34463.1	AB737978	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76771.1	KF992026	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76777.1	KF992028	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76779.1	KF992029	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
CAJ28994.1	AM076977	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHA80105.1	KF526117	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHA80106.1	KF526118	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHM76774.1	KF992027	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AGU38146.1	KF515536	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39336.1	KJ207207	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39338.1	KJ207208	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39340.1	KJ207209	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AHL39333.1	KJ207206	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76085.1	KM087832	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ABL67017.1	EF125013	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76086.1	KM087833	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76096.1	KM087843	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76088.1	KM087835	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AIT76087.1	KM087834.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
BAP68758.1	LC004922	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJG06170.1	KM926621	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AJG06172.1	KM926622	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ABZ81086.1	EU427302	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05689.1	FJ237369	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05686.1	FJ237366	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ACJ05688.1	FJ237368	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
AEI70575.1	HQ693810	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
WP_004714775.1	NG_048633.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857787.1	NG_048636	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857788.1	NG_048637.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857789.1	NG_048638	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857790.1	NG_048639	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857791.1	NG_048640.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857792.1	NG_048641.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_002118772.1	NG_048642	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857793.1	NG_048643.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_004746565.1	NG_048644.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857794.1	NG_048645	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857795.1	NG_048646	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857796.1	NG_048647.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857797.1	NG_048648.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001211217.1	NG_048649.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857798.1	NG_048651	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001211223.1	NG_050716.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857800.1	NG_048654.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857801.1	NG_048655.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857802.1	NG_048656.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857803.1	NG_048657.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_032055358.1	NG_048658.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857804.1	NG_048659.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_038405930.1	NG_048660.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_031973850.1	NG_048666.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_017725267.1	NG_048669.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_033503051.1	NG_048671.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857816.1	NG_048677.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001211203.1	NG_048679.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857817.1	NG_048680.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001211237.1	NG_048681.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_063857818.1	NG_048682.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_057691006.1	NG_048683.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001159760.1	NG_048684.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
CAL25116.3	AM293332.3	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_029424536.1	NG_048686.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_059262723.1	NG_048687.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
WP_001211216.1	NG_050718.1	ADC beta-lactamase	cephalosporin	antibiotic inactivation
AAL14439.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
AAL14440.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
ALX99516.1	CP013924.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
CAJ77856.1	CT025801.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
CAJ77857.1	CT025800.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
CAJ77855.1	CT025802.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
YP_002320475.1	NC_011586	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
AAX14802.1	AY769962	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
AAX14803.1	AY769962	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
ALH22601.1	KR297239.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
AGV28567.1	KF147862	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;carbapenem;cephalosporin;tetracycline antibiotic;rifamycin antibiotic;diaminopyrimidine antibiotic;phenicol antibiotic;penem	antibiotic efflux
ADM92605.1	HM440348	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
ADM92606.1	HM440348	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux
AAC09015.1	U14748	AER beta-lactamase	penam	antibiotic inactivation
CAQ53840.1	AM998375	AIM beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
YP_108403.1	NC_006350.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
YP_108402.1	NC_006350.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
AAC64365.1	AF078527	ANT(2'')	aminoglycoside antibiotic	antibiotic inactivation
EEX02086	GG704579.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAL51021.2	AF453998	AAC(6');ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ENU91137	APPC01000022.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ENU37733	APOM01000001.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAO83986.1	EF540343	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
YP_006938491.1	NC_013342.1	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
AAA25717.1	M98270	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
AAM76670.1	AY114142	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
YP_008997281.1	NC_023287	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
CBH51824.1	FN594949	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
AFU35063.1	JX560992	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
AAX38178.1	AY939911	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
AAW34150.1	AY701528.1	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
AGV10818.1	CP004067	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
AAK63040.1	AF337947	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
AAB49832.1	U51479	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
AAC14693.1	AF016483	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
CAA37605.1	X53527	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
CAE51638.1	BX664015	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ABK33456.1	AF313472	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
AAA26412.1	M20305	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ABC68330.1	DQ336355	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
WP_000572405.1	NG_047417.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CAA62365.1	X90856	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ADQ43421.1	HQ424460	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AGV10830.1	CP004067	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CAA27061.1	X03364	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ENV34035	APPN01000061.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AAA26699.1	K00432	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AAC32025.1	M22126	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AAB21326.1	S81599	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AGI04227.1	KC170992.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CAA30578.1	X07753	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AAA76822.1	M29953	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
EPF73263	ATGI01000028.1	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
CAA24743.1	V01499	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
CAA52372.1	X74325	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
CAA68516.1	Y00459	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
CAA29136.1	X05648	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
CAA25854.1	X01702	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
AAC23556.1	AF024602	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
CAA27276.1	X03615	APH(7'')	aminoglycoside antibiotic	antibiotic inactivation
AAB58447.1	U94857	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
AAB66655.1	U70376	APH(9)	aminoglycoside antibiotic	antibiotic inactivation
CBL58181.1	FN806789.3	amp acetyltransferase	aminoglycoside antibiotic	antibiotic inactivation
BAM76830.1	AB765395	AQU beta-lactamase	cephalosporin	antibiotic inactivation
YP_001332362.1	NC_009641	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
YP_499945.1	NC_007795	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
ADC55560.1	GU437214.1	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
NP_252408.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
NP_252244	NC_002516.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
AAC64366.1	AF078527	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
ACD56151.1	EU675686	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
ABV26705.1	EF660562	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
ABV26707.1	EF660563	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
CAZ48628.1	FN397623	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
AGC29882.1	KC199968	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
EGP45232.2	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;tetracycline antibiotic	antibiotic efflux
EGP45231.1	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;tetracycline antibiotic	antibiotic efflux
EGP45233.1	AFRQ01000061.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;cephalosporin;tetracycline antibiotic	antibiotic target alteration;antibiotic efflux
